SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
000546.48-002413.9  1.443696    -0.403879   1.7298  19.606  0.038   19.593  0.024   19.563  0.018   19.301  0.022   19.419  0.073   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.798
000548.24-084808.4  1.451002    -8.802345   1.1898  17.950  0.034   17.860  0.035   17.612  0.019   17.621  0.022   17.716  0.027   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.590
000549.05-003435.5  1.454388    -0.576539   1.6240  19.320  0.032   19.103  0.022   19.021  0.031   18.788  0.021   18.761  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.165
000549.80-110559.0  1.457508    -11.099734  2.3262  19.622  0.041   19.181  0.032   19.157  0.023   19.141  0.024   19.104  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.635
000557.24+002837.7  1.488523    0.477166    0.2595  18.598  0.024   18.591  0.024   18.414  0.023   18.372  0.027   17.869  0.049   0.000   -9.000  16.691  0.149   15.911  0.139   15.121  0.106   -22.211
000559.20+153125.1  1.496694    15.523659   0.4663  19.085  0.025   18.735  0.020   18.849  0.017   18.670  0.017   18.433  0.031   -1.000  -9.000  16.981  0.173   16.071  0.167   14.925  0.135   -23.351
000602.17-005358.1  1.509042    -0.899487   1.8554  19.783  0.036   19.772  0.024   19.586  0.028   19.088  0.028   19.212  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.165
000608.04-010700.7  1.533512    -1.116862   0.9486  19.770  0.042   19.431  0.023   19.245  0.023   19.238  0.023   19.239  0.066   15.240  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.437
000612.31-104310.6  1.551331    -10.719620  1.7353  19.227  0.035   19.142  0.036   19.101  0.023   18.881  0.020   18.967  0.053   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.242
000617.07+135406.9  1.571165    13.901935   0.6043  20.428  0.054   19.774  0.020   19.570  0.017   19.200  0.018   19.204  0.053   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.535
000618.27-100606.6  1.576143    -10.101853  0.7186  18.869  0.030   18.486  0.020   18.437  0.016   18.462  0.026   18.422  0.042   0.000   -1.564  16.924  0.158   16.536  0.256   15.705  0.229   -24.536
000623.57+144710.7  1.598217    14.786314   1.1287  19.719  0.033   19.507  0.020   19.236  0.016   19.179  0.025   19.173  0.057   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.990
000625.25+154625.8  1.605244    15.773835   1.5200  24.102  0.791   23.042  0.171   20.731  0.035   19.732  0.027   19.262  0.059   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.125
000627.03+160600.8  1.612661    16.100242   1.6781  19.346  0.030   19.186  0.019   19.213  0.018   18.967  0.023   19.062  0.054   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.095
