SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
165357.11+315221.7  253.487959  31.872705   1.6349  19.839  0.047   19.462  0.066   18.935  0.015   18.609  0.031   18.476  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.345
165357.33+364705.5  253.488904  36.784871   2.3855  21.172  0.101   20.395  0.025   20.411  0.028   20.377  0.037   20.098  0.102   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.416
165358.06+384346.4  253.491924  38.729561   1.9613  18.455  0.024   18.267  0.018   18.216  0.015   18.073  0.015   17.930  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.276
165358.91+355318.2  253.495472  35.888412   0.6878  18.379  0.021   18.193  0.015   18.152  0.016   18.155  0.020   18.175  0.030   0.000   -9.000  17.193  0.227   16.651  0.259   15.898  0.204   -24.693
165401.68+343351.9  253.507009  34.564435   0.9188  19.563  0.030   19.562  0.015   19.568  0.017   19.789  0.020   19.772  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.765
165408.01+383502.7  253.533393  38.584106   1.8325  18.330  0.024   18.272  0.015   18.346  0.015   18.030  0.014   18.015  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.160
165408.17+350954.9  253.534083  35.165277   2.8365  20.300  0.047   19.061  0.020   18.921  0.013   18.961  0.016   18.835  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.226
165409.61+342013.3  253.540074  34.337055   2.1740  20.729  0.078   19.991  0.020   19.402  0.018   19.131  0.016   18.916  0.042   14.132  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.454
165412.52+363124.5  253.552208  36.523481   2.0885  20.244  0.048   19.750  0.021   19.409  0.018   19.226  0.019   19.020  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.268
165412.83+354334.9  253.553488  35.726376   0.7533  20.309  0.052   20.167  0.021   20.080  0.023   19.953  0.028   19.692  0.098   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.119
165412.91+373504.1  253.553798  37.584475   2.6407  18.920  0.022   18.306  0.013   18.219  0.012   18.215  0.014   18.105  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.802
165414.22+391400.2  253.559253  39.233401   1.4065  19.092  0.027   18.831  0.019   18.628  0.014   18.574  0.017   18.700  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.000
165417.67+392724.1  253.573643  39.456718   0.9066  19.122  0.022   18.867  0.014   18.723  0.012   18.812  0.018   18.709  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.713
165418.25+412605.0  253.576073  41.434740   1.5342  19.816  0.033   19.458  0.018   19.226  0.016   19.049  0.017   18.976  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.743
165419.18+360902.7  253.579954  36.150770   0.4587  18.820  0.021   18.593  0.015   18.629  0.017   18.500  0.017   18.340  0.034   0.000   -1.145  17.430  0.100   16.027  0.191   15.297  0.150   -23.368
165419.99+424316.8  253.583315  42.721341   1.7907  18.959  0.022   18.821  0.023   18.776  0.015   18.537  0.019   18.492  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.612
165421.06+351148.8  253.587783  35.196890   1.5036  18.008  0.020   17.829  0.019   17.752  0.011   17.629  0.013   17.686  0.021   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.106
165421.91+353746.9  253.591322  35.629702   1.4107  18.758  0.023   18.712  0.016   18.595  0.018   18.545  0.015   18.595  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.037
165422.87+635737.7  253.595312  63.960481   2.0787  19.520  0.032   19.244  0.017   18.960  0.017   18.670  0.015   18.334  0.053   0.000   -9.000  17.240  0.100   17.713  0.100   15.359  0.171   -26.857
165426.98+321058.9  253.612437  32.183044   2.9407  22.183  0.218   20.162  0.021   19.948  0.024   19.805  0.042   19.856  0.087   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.488
165428.66+382054.7  253.619449  38.348541   2.0264  19.740  0.037   19.501  0.019   19.209  0.015   19.011  0.019   18.873  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.410
165429.01+415532.8  253.620894  41.925796   1.5497  20.158  0.042   19.788  0.017   19.504  0.023   19.239  0.020   19.313  0.073   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.583
165430.72+395419.7  253.628016  39.905483   0.3397  19.348  0.030   19.223  0.017   19.047  0.016   19.080  0.017   18.324  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.068
165431.34+411129.5  253.630586  41.191553   1.1906  18.927  0.021   18.831  0.018   18.428  0.018   18.437  0.016   18.535  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.756
165433.09+391958.6  253.637910  39.332959   1.1940  19.308  0.028   19.289  0.018   19.030  0.015   19.001  0.023   19.182  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.183
165433.14+382859.9  253.638097  38.483307   0.3570  19.663  0.033   19.399  0.016   18.637  0.014   18.457  0.016   18.159  0.027   0.000   -1.423  16.900  0.164   15.933  0.184   15.477  0.170   -22.802
165433.29+372820.0  253.638711  37.472228   1.5390  22.232  0.204   21.378  0.042   20.607  0.033   20.041  0.031   19.912  0.085   16.167  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.741
165433.32+422053.8  253.638843  42.348281   2.5188  19.726  0.032   19.248  0.016   19.126  0.015   19.153  0.018   19.024  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.776
165435.35+301432.4  253.647327  30.242341   1.8974  18.747  0.022   18.642  0.012   18.618  0.013   18.367  0.016   18.331  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.952
165435.84+330251.3  253.649354  33.047610   0.1222  16.536  0.018   16.509  0.014   16.395  0.022   15.971  0.020   15.980  0.017   0.000   -9.000  14.383  0.040   13.573  0.038   12.940  0.036   -22.809
165437.56+351826.6  253.656522  35.307407   1.1672  18.213  0.021   18.121  0.019   18.024  0.012   18.081  0.014   18.104  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.051
165439.25+400733.4  253.663569  40.125969   1.2924  19.233  0.028   19.283  0.014   19.173  0.019   19.086  0.020   19.149  0.071   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.295
165439.81+343822.9  253.665880  34.639721   0.4235  19.938  0.037   19.437  0.016   19.123  0.013   18.842  0.018   18.560  0.035   0.000   -1.578  16.578  0.158   16.036  0.189   15.114  0.118   -22.832
165441.75+614018.8  253.673994  61.671906   1.2479  18.111  0.022   18.071  0.014   17.817  0.016   17.728  0.020   17.749  0.021   -1.000  -2.222  16.690  0.138   16.366  0.100   15.829  0.100   -26.610
165442.66+375425.2  253.677781  37.907026   0.4995  18.935  0.021   18.605  0.014   18.862  0.018   18.700  0.021   18.502  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.373
165443.31+372008.0  253.680478  37.335574   1.9267  18.925  0.023   18.893  0.015   18.733  0.013   18.600  0.013   18.524  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.704
165444.63+384808.6  253.685981  38.802401   1.7339  19.629  0.030   19.289  0.015   19.203  0.016   18.958  0.018   18.849  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.104
165445.61+400413.4  253.690057  40.070414   2.4318  21.353  0.131   20.291  0.022   19.764  0.024   19.438  0.026   18.923  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.413
165446.31+371332.3  253.692999  37.225642   1.0798  19.262  0.026   19.113  0.011   18.795  0.015   18.770  0.017   18.804  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.167
165447.39+311528.6  253.697462  31.257970   0.6908  18.443  0.022   18.121  0.020   18.176  0.013   18.289  0.017   18.294  0.029   0.000   -1.978  0.000   0.000   0.000   0.000   0.000   0.000   -24.609
165447.44+410910.7  253.697706  41.152986   2.3947  21.339  0.094   20.240  0.022   20.321  0.029   20.242  0.035   19.783  0.084   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.581
165453.24+621627.5  253.721834  62.274326   1.7656  19.638  0.034   19.350  0.017   19.247  0.021   18.966  0.022   18.914  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.173
165454.08+302526.0  253.725360  30.423889   3.0659  23.137  0.357   20.476  0.026   20.167  0.023   20.267  0.036   20.069  0.089   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.124
165455.98+305547.9  253.733257  30.929986   1.7899  20.009  0.063   19.979  0.023   19.965  0.026   19.727  0.030   19.739  0.095   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.443
165459.71+305208.3  253.748792  30.868988   1.9706  19.675  0.049   19.524  0.019   19.357  0.020   19.148  0.023   18.915  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.245
165500.22+303040.5  253.750947  30.511257   0.4037  18.743  0.023   18.421  0.019   18.358  0.016   18.205  0.019   17.735  0.023   15.137  -1.474  16.408  0.136   15.710  0.148   14.895  0.106   -23.390
165500.56+383802.8  253.752338  38.634113   1.1443  19.332  0.030   19.240  0.016   19.005  0.016   19.074  0.017   19.217  0.053   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.007
165502.20+381046.2  253.759178  38.179516   1.8107  19.031  0.030   19.077  0.018   19.112  0.016   18.798  0.016   18.779  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.370
165505.28+395940.4  253.772021  39.994578   1.2026  19.449  0.031   19.434  0.016   19.028  0.021   18.861  0.023   19.112  0.053   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.348
165506.05+401336.8  253.775244  40.226893   2.6800  21.751  0.160   20.393  0.022   19.916  0.024   19.431  0.022   19.157  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.635
165507.10+323403.3  253.779612  32.567610   1.6547  19.532  0.037   19.289  0.015   19.182  0.019   18.925  0.026   18.874  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.056
165507.77+414907.0  253.782380  41.818621   0.8301  19.042  0.023   18.830  0.013   18.868  0.021   19.012  0.025   18.786  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.309
165508.72+373244.6  253.786354  37.545723   2.0923  19.229  0.024   19.122  0.017   18.978  0.020   18.914  0.020   18.809  0.037   13.998  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.582
165508.90+411427.2  253.787104  41.240909   1.7986  18.713  0.021   18.587  0.016   18.556  0.016   18.326  0.016   18.295  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.843
165511.92+350548.3  253.799700  35.096751   3.8700  25.367  0.732   20.534  0.023   19.426  0.015   19.076  0.016   19.043  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.792
165513.70+414617.1  253.807122  41.771420   0.5662  19.210  0.025   18.903  0.013   18.953  0.021   18.808  0.024   18.798  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.581
165515.34+421139.6  253.813917  42.194340   2.1766  18.695  0.024   18.441  0.012   18.348  0.012   18.273  0.014   18.080  0.023   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.337
165517.49+303848.1  253.822889  30.646708   1.6320  19.509  0.027   19.413  0.017   19.391  0.016   19.126  0.019   19.153  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.831
165519.22+324241.1  253.830105  32.711426   3.1863  21.406  0.131   19.607  0.017   19.425  0.020   19.450  0.028   19.449  0.078   10.912  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.009
165520.41+355615.9  253.835065  35.937772   1.2790  19.234  0.027   19.152  0.022   18.939  0.047   18.974  0.018   18.965  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.382
165520.56+325503.7  253.835688  32.917722   0.9625  18.556  0.026   18.421  0.016   18.224  0.017   18.245  0.017   18.368  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.444
165521.07+352424.7  253.837825  35.406879   1.6284  20.561  0.061   20.214  0.022   20.043  0.023   19.726  0.025   19.789  0.100   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.193
165522.24+614735.4  253.842705  61.793170   1.5963  19.401  0.028   19.121  0.020   19.074  0.024   18.918  0.020   19.059  0.048   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.989
165529.32+352238.8  253.872179  35.377459   2.2717  19.685  0.033   19.135  0.017   19.047  0.015   18.986  0.017   18.786  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.700
165530.67+333045.2  253.877801  33.512580   1.9911  19.737  0.039   19.395  0.017   19.088  0.017   18.826  0.014   18.563  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.576
165532.71+423340.8  253.886330  42.561336   0.4033  20.119  0.042   19.740  0.023   19.470  0.019   19.117  0.020   18.557  0.034   0.000   -1.806  0.000   0.000   0.000   0.000   0.000   0.000   -22.445
165532.98+393555.2  253.887446  39.598692   2.5684  21.602  0.152   20.332  0.024   20.245  0.027   20.121  0.029   19.645  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.847
165533.72+370036.2  253.890509  37.010076   1.5851  19.957  0.037   19.620  0.019   19.455  0.037   19.227  0.039   19.266  0.086   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.624
165536.62+385639.9  253.902585  38.944431   2.3825  21.150  0.073   20.185  0.024   20.271  0.024   20.046  0.029   19.572  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.748
165537.45+395332.4  253.906069  39.892350   1.7719  18.916  0.023   18.782  0.013   18.727  0.019   18.524  0.018   18.544  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.600
165537.77+624738.9  253.907416  62.794164   0.5974  19.401  0.032   18.983  0.018   18.874  0.018   18.630  0.017   18.562  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.950
165538.92+320037.4  253.912188  32.010396   2.1959  18.845  0.031   18.431  0.016   18.405  0.018   18.251  0.022   18.040  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.383
165542.60+381338.3  253.927513  38.227321   1.9056  17.560  0.013   17.247  0.013   17.113  0.013   16.987  0.019   16.900  0.016   0.000   -9.000  15.934  0.091   15.465  0.137   15.131  0.133   -28.299
165543.11+330810.6  253.929649  33.136293   1.6744  19.302  0.028   19.258  0.019   19.154  0.017   18.902  0.021   18.880  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.108
165543.24+394519.9  253.930183  39.755531   1.7528  18.475  0.020   18.285  0.015   18.144  0.023   17.883  0.016   17.872  0.023   13.884  -9.000  16.621  0.130   16.029  0.212   15.517  0.196   -27.213
165543.87+395322.2  253.932802  39.889510   2.4219  19.776  0.036   19.208  0.014   18.929  0.019   18.831  0.019   18.576  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.006
165545.33+413954.5  253.938888  41.665143   1.6709  19.829  0.040   19.480  0.015   19.230  0.019   18.937  0.023   18.979  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.068
165552.28+321636.9  253.967851  32.276925   1.4942  19.552  0.035   19.384  0.017   19.223  0.016   19.100  0.024   19.148  0.062   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.644
165553.04+373510.1  253.971001  37.586160   2.1731  19.552  0.034   19.295  0.017   19.301  0.015   19.132  0.023   18.914  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.454
165553.05+352538.0  253.971043  35.427248   1.1732  19.377  0.026   19.357  0.016   19.204  0.014   19.250  0.016   19.457  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.892
165554.84+614209.1  253.978508  61.702550   1.1788  19.384  0.028   19.248  0.016   19.018  0.023   18.990  0.020   19.022  0.044   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.210
165557.34+321805.4  253.988957  32.301526   1.3375  18.382  0.022   17.998  0.014   17.608  0.012   17.518  0.021   17.488  0.028   16.297  -9.000  16.544  0.140   16.041  0.170   15.471  0.150   -26.964
165559.40+404811.0  253.997533  40.803071   1.8453  19.475  0.028   19.397  0.017   19.480  0.023   19.097  0.036   19.039  0.048   13.518  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.116
165559.52+320105.2  253.998028  32.018135   3.2567  21.829  0.257   19.487  0.018   19.167  0.020   19.009  0.027   19.056  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.505
165601.46+305118.9  254.006103  30.855269   2.2025  20.834  0.091   20.487  0.026   20.447  0.032   20.422  0.039   20.326  0.128   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.222
165602.53+335536.4  254.010551  33.926795   1.5022  18.311  0.018   18.152  0.014   18.049  0.013   17.867  0.016   17.995  0.025   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.865
165604.58+641225.6  254.019125  64.207129   1.0707  18.253  0.017   18.104  0.032   18.030  0.034   18.006  0.022   17.973  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.937
165604.98+390947.0  254.020760  39.163074   0.6584  19.514  0.028   19.219  0.021   19.231  0.016   19.127  0.021   19.107  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.623
165608.35+351018.0  254.034828  35.171678   0.6252  21.015  0.084   20.368  0.024   20.414  0.028   20.327  0.039   20.358  0.177   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.292
165609.53+312847.6  254.039722  31.479916   3.2243  22.278  0.244   19.824  0.024   19.389  0.020   19.166  0.021   19.078  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.319
165612.02+364126.3  254.050112  36.690649   1.0932  17.966  0.018   17.875  0.017   17.691  0.013   17.743  0.016   17.799  0.022   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.228
165612.60+343149.4  254.052540  34.530403   1.7718  20.470  0.051   19.690  0.016   19.403  0.014   19.134  0.018   19.031  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.978
165613.82+420909.7  254.057607  42.152706   0.8736  18.334  0.026   17.788  0.013   17.727  0.016   17.876  0.017   17.785  0.022   0.000   -9.000  16.396  0.114   15.867  0.166   15.299  0.100   -25.581
165614.00+351014.5  254.058345  35.170717   0.8052  17.579  0.015   17.449  0.016   17.420  0.011   17.471  0.016   17.430  0.022   0.000   -9.000  16.745  0.172   16.163  0.214   15.486  0.154   -25.763
165614.64+384024.9  254.061037  38.673607   1.4721  19.666  0.034   19.561  0.018   19.402  0.017   19.218  0.022   19.213  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.463
165617.07+351135.5  254.071167  35.193198   1.4793  20.647  0.064   20.479  0.025   20.303  0.026   20.166  0.035   20.336  0.243   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.528
165617.22+311603.4  254.071781  31.267625   1.5079  17.998  0.016   17.899  0.013   17.833  0.012   17.672  0.015   17.643  0.025   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.099
165618.98+313020.6  254.079121  31.505740   0.3574  18.785  0.023   18.730  0.021   18.643  0.017   18.687  0.019   18.141  0.031   0.000   -1.777  17.107  0.245   15.947  0.185   15.531  0.166   -22.597
165620.45+385126.9  254.085248  38.857490   2.3314  19.878  0.032   19.210  0.017   19.367  0.025   18.996  0.020   18.755  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.748
165621.65+415524.5  254.090223  41.923474   2.8806  20.401  0.047   18.926  0.013   18.687  0.012   18.531  0.017   18.437  0.027   11.607  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.714
165624.07+324041.9  254.100299  32.678312   1.5036  19.368  0.036   19.178  0.019   19.168  0.021   19.010  0.020   18.981  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.748
165625.38+415642.5  254.105773  41.945156   1.5293  20.837  0.063   20.229  0.020   19.643  0.017   19.176  0.020   19.123  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.619
165627.23+325750.9  254.113494  32.964158   1.4035  19.456  0.033   19.193  0.016   18.870  0.019   18.742  0.018   18.723  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.855
165627.31+623226.7  254.113826  62.540765   0.1846  18.216  0.016   18.057  0.017   17.650  0.017   17.260  0.022   17.323  0.029   16.347  -1.968  15.791  0.080   15.093  0.104   14.181  0.073   -22.479
165628.50+345026.4  254.118780  34.840684   1.1481  19.257  0.027   19.013  0.015   18.788  0.015   18.706  0.016   18.675  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.384
165631.20+353259.1  254.130005  35.549751   2.0375  19.579  0.033   19.254  0.020   18.798  0.013   18.680  0.015   18.509  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.755
165632.14+414617.4  254.133947  41.771504   2.1644  19.053  0.024   18.689  0.016   18.548  0.011   18.448  0.017   18.221  0.025   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.155
165634.96+350631.1  254.145703  35.108657   1.0919  20.331  0.054   20.389  0.022   20.186  0.025   20.270  0.036   20.281  0.163   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.701
165638.87+362121.0  254.161966  36.355850   0.5365  20.370  0.049   19.822  0.017   19.473  0.021   19.104  0.017   19.027  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.141
165641.51+372639.7  254.172963  37.444370   0.4837  21.145  0.093   19.874  0.021   19.166  0.016   18.686  0.019   18.426  0.034   16.357  -1.827  17.452  0.100   16.125  0.100   15.291  0.144   -23.308
165642.38+390947.7  254.176598  39.163251   1.3007  19.211  0.027   19.225  0.017   19.069  0.016   19.062  0.017   19.166  0.047   0.000   -1.836  0.000   0.000   0.000   0.000   0.000   0.000   -25.328
165643.96+410205.2  254.183178  41.034782   2.0995  19.338  0.028   19.208  0.021   19.177  0.016   19.106  0.017   19.034  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.412
165644.23+370555.3  254.184292  37.098722   1.8650  19.356  0.026   19.336  0.024   19.164  0.015   18.778  0.019   18.677  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.455
165644.43+332913.8  254.185142  33.487192   2.2176  20.319  0.058   19.702  0.020   19.246  0.017   18.892  0.016   18.618  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.764
165645.49+415603.6  254.189561  41.934352   1.4918  18.382  0.020   18.252  0.014   18.124  0.020   17.973  0.020   18.029  0.025   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.758
165647.22+345127.7  254.196782  34.857704   2.7483  20.092  0.044   19.204  0.015   19.144  0.016   19.104  0.019   19.006  0.054   14.809  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.006
165647.27+341032.4  254.196991  34.175674   1.0835  18.712  0.026   18.559  0.018   18.296  0.012   18.311  0.016   18.326  0.029   0.000   -9.000  17.415  0.274   16.473  0.243   15.992  0.211   -25.641
165648.52+635838.3  254.202204  63.977326   2.3694  19.495  0.028   18.952  0.025   19.024  0.018   18.955  0.018   18.614  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.866
165652.55+320551.3  254.218995  32.097604   0.6107  18.239  0.023   17.789  0.016   17.873  0.014   17.694  0.019   17.902  0.031   0.000   -1.444  16.601  0.136   16.198  0.174   15.313  0.123   -24.894
165654.28+361340.8  254.226179  36.228009   1.5633  20.411  0.050   20.118  0.020   20.006  0.026   19.722  0.025   19.674  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.100
165654.29+341259.3  254.226235  34.216490   1.8829  19.112  0.029   19.024  0.019   19.055  0.014   18.845  0.017   18.904  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.410
165654.34+370933.7  254.226443  37.159371   1.4178  19.934  0.034   19.915  0.025   19.731  0.018   19.637  0.023   19.688  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.952
165659.14+321438.8  254.246440  32.244120   1.4640  19.143  0.031   19.043  0.018   18.826  0.016   18.686  0.020   18.713  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.013
165702.16+322343.6  254.259016  32.395448   2.1272  19.472  0.035   19.259  0.019   19.111  0.024   19.136  0.021   18.949  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.431
165703.05+371741.8  254.262745  37.294952   1.2100  19.195  0.031   19.197  0.017   19.086  0.016   19.118  0.018   19.217  0.058   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.099
165708.30+360513.1  254.284606  36.086988   1.0474  19.387  0.025   19.238  0.018   19.029  0.017   19.045  0.020   19.056  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.824
165708.77+334439.5  254.286578  33.744331   1.4240  19.225  0.023   18.890  0.015   18.771  0.013   18.741  0.015   18.767  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.866
165709.48+410807.5  254.289518  41.135434   2.0045  18.486  0.019   18.463  0.015   18.389  0.015   18.214  0.015   18.072  0.028   0.000   -9.000  16.843  0.149   15.973  0.100   16.053  0.100   -27.200
165711.92+350113.0  254.299675  35.020287   1.7647  20.511  0.049   20.237  0.020   20.256  0.023   20.048  0.027   19.877  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.055
165713.24+352439.3  254.305195  35.410936   2.3289  19.756  0.036   19.334  0.016   19.371  0.015   19.356  0.021   19.212  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.383
165713.79+411441.1  254.307494  41.244751   2.9502  22.435  0.258   20.653  0.026   20.394  0.028   20.011  0.030   19.724  0.092   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.277
165716.50+324849.6  254.318768  32.813802   2.2924  19.781  0.038   19.076  0.016   19.061  0.014   18.951  0.013   18.680  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.781
165717.00+315437.0  254.320850  31.910290   1.3462  18.754  0.024   18.608  0.022   18.362  0.014   18.351  0.017   18.293  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.154
165718.39+384449.9  254.326627  38.747201   1.9772  18.818  0.023   18.783  0.017   18.779  0.018   18.719  0.018   18.574  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.654
